time,temp_salon_c,temp_kids_c,hum_salon,hum_kids,temp_out_1_b_c,hum_out_1_b,temp_out_2_n_c,hum_out_2_n
2026-02-14 07:00:00,20.57,,63.11,,,,,
2026-02-14 08:00:00,19.19,,64.91,,,,,
2026-02-14 09:00:00,18.81,,67.48,,,,,
2026-02-14 10:00:00,18.39,20.47,63.27,64.03,,,,
2026-02-14 11:00:00,18.67,19.04,65.5,62.32,,,,
2026-02-14 12:00:00,18.5,18.81,65.36,62.43,,,,
2026-02-14 13:00:00,18.5,19.25,64.13,59.83,,,,
2026-02-14 14:00:00,18.5,19.73,65.61,59.36,,,,
2026-02-14 15:00:00,18.5,20.27,62.7,57.95,,,,
2026-02-14 16:00:00,18.55,20.48,64.16,57.7,,,,
2026-02-14 17:00:00,18.63,19.89,68.79,59.99,,,,
2026-02-14 18:00:00,18.7,19.26,71.9,62.16,,,,
2026-02-14 19:00:00,18.33,19.21,68.08,64.6,,,,
2026-02-14 20:00:00,18.41,19.0,68.61,64.3,,,,
2026-02-14 21:00:00,18.5,18.9,69.5,64.7,,,,
2026-02-14 22:00:00,18.44,18.9,69.5,64.7,,,,
2026-02-14 23:00:00,18.3,18.85,69.5,64.7,,,,
2026-02-15 00:00:00,18.3,18.7,69.5,65.64,,,,
2026-02-15 01:00:00,18.3,18.7,69.5,66.7,,,,
2026-02-15 02:00:00,18.2,18.7,69.5,67.52,,,,
2026-02-15 03:00:00,18.1,18.7,69.5,67.7,,,,
2026-02-15 04:00:00,18.1,18.7,69.5,67.7,,,,
2026-02-15 05:00:00,18.1,18.53,69.5,67.7,,,,
2026-02-15 06:00:00,18.1,18.5,69.5,67.7,,,,
2026-02-15 07:00:00,18.1,18.5,69.5,68.04,,,,
2026-02-15 08:00:00,18.1,18.5,70.27,68.7,,,,
2026-02-15 09:00:00,18.1,18.32,70.77,65.64,,,,
2026-02-15 10:00:00,18.1,18.42,69.94,65.23,,,,
2026-02-15 11:00:00,18.2,18.77,69.95,64.7,,,,
2026-02-15 12:00:00,18.33,19.11,70.4,64.7,,,,
2026-02-15 13:00:00,18.5,19.48,69.53,64.09,,,,
2026-02-15 14:00:00,18.53,19.35,69.4,64.47,,,,
2026-02-15 15:00:00,18.85,19.44,68.51,64.67,,,,
2026-02-15 16:00:00,19.36,19.91,68.36,62.97,,,,
2026-02-15 17:00:00,19.48,19.88,69.26,61.85,,,,
2026-02-15 18:00:00,18.95,19.31,66.18,60.2,,,,
2026-02-15 19:00:00,18.9,19.1,67.28,63.04,,,,
2026-02-15 20:00:00,18.88,18.99,69.49,66.37,,,,
2026-02-15 21:00:00,18.96,19.02,69.07,68.23,,,,
2026-02-15 22:00:00,19.01,19.1,67.04,69.2,,,,
2026-02-15 23:00:00,18.83,19.1,68.32,69.2,,,,
2026-02-16 00:00:00,18.7,19.03,68.5,69.2,,,,
2026-02-16 01:00:00,18.61,18.9,68.5,69.2,,,,
